Sub,Main
Consulting,Service
IT Services,IT
Computer Hardware & Software,IT
"Department, Clothing, & Shoe Stores",Retail
General Merchandise & Superstores,Retail
Banks & Credit Unions,Finance
Accounting,Accounting
Enterprise Software & Network Solutions,IT
Home Centers & Hardware Stores,IT
Federal Agencies,Government
Drug & Health Stores,Health
Internet,IT
Fast-Food & Quick-Service Restaurants,Service
Car Rental,Service
Telecommunications Services,IT
Logistics & Supply Chain,Logistics
Energy,Resource
"Cable, Internet & Telephone Providers",IT
Aerospace & Defense,Manufacture
Office Supply Stores,Retail
Insurance Carriers,Finance
Telecommunications Manufacturing,Manufacture
Consumer Products Manufacturing,Manufacture
Financial Transaction Processing,Finance
Food & Beverage Manufacturing,Retail
Staffing & Outsourcing,Service
Electrical & Electronic Manufacturing,Manufacture
Investment Banking & Asset Management,Finance
Health Care Services & Hospitals,Health
Vehicle Dealers,Retail
Lending,Finance
Grocery Stores & Supermarkets,Retail
Brokerage Services,Service
Biotech & Pharmaceuticals,Health
Advertising & Marketing,Advertising
Toy & Hobby Stores,Manufacture
Casual Restaurants,Service
Research & Development,Research
Express Delivery Services,Logistics
"Museums, Zoos & Amusement Parks",Entertainment
Health Care Products Manufacturing,Health
Transportation Equipment Manufacturing,Manufacture
Sporting Goods Stores,Retail
Architectural & Engineering Services,Service
Home Furniture & Housewares Stores,Retail
Oil & Gas Exploration & Production,Manufacture
Chemical Manufacturing,Manufacture
Colleges & Universities,Education
Building & Personnel Services,Service
Airlines,Logistics
Business Service Centers & Copy Shops,Service
Food & Beverage Stores,Retail
Social Assistance,Service
Security Services,Finance
Beauty & Personal Accessories Stores,Retail
Oil & Gas Services,Service
TV Broadcast & Cable Networks,Media
Movie Theaters,Entertainment
Motion Picture Production & Distribution,Media
Wholesale,Retail
Industrial Manufacturing,Manufacture
Real Estate,Real Estate
Sports & Recreation,Entertainment
Food Production,Retail
"Health, Beauty, & Fitness",Service
Consumer Product Rental,Service
"Hotels, Motels, & Resorts",Service
Construction,Real Estate
Utilities,Utilities
Radio,Media
Media & Entertainment Retail Stores,Retail
Education Training Services,Education
Publishing,Media
Transportation Management,Logistics
Automotive Parts & Accessories Stores,Retail
Catering & Food Service Contractors,Service
Photography,Entertainment
Consumer Electronics & Appliances Stores,Retail
Municipal Governments,Government
Other Retail Stores,Retail
News Outlet,Media
Financial Analytics & Research,Finance
Preschool & Child Care,Service
Truck Rental & Leasing,Service
Trucking,Logistics
Video Games,IT
Metal & Mineral Manufacturing,Manufacture
Auto Repair & Maintenance,Service
Funeral Services,Service
K-12 Education,Education
Commercial Equipment Repair & Maintenance,Service
Insurance Agencies & Brokerages,Service
Convenience Stores & Truck Stops,Retail
Commercial Equipment Rental,Service
Commercial Printing,Service
Travel Agencies,Service
State & Regional Agencies,Service
Parking Lots & Garages,Service
Auctions & Galleries,Service
Veterinary Services,Service
Charter Air Travel,Service
Music Production & Distribution,Media
Miscellaneous Manufacturing,Manufature
Religious Organizations,Others
Grantmaking Foundations,Others
Mining,Resource
Membership Organizations,Others
Health Fundraising Organizations,Health
"Gift, Novelty & Souvenir Stores",Retail
Legal,Others
Rail,Logistics
Passenger Rail,Logistics
Asphalt Products Manufacturing,Manufacture
Farm Support Services,Service
Bus Transportation Services,Service
Gambling,Entertainment
Wood Product Manufacturing,Manufacture
Shipping,Logistics
Ticket Sales,Service
Performing Arts,Entertainment
Upscale Restaurants,Service
General Repair & Maintenance,Service
Adult Entertainment,Entertainment
Talent & Modeling Agencies,Service
Gas Stations,Service
Stock Exchanges,Finance
Cruise Ships,Entertainment
Pet & Pet Supplies Stores,Retail
Venture Capital & Private Equity,Finance
Timber Operations,Logistics
Taxi & Limousine Services,Service
Metals Brokers,Manufacture
Moving Services,Service
Audiovisual,IT
Self-Storage Services,Service
